group_type,group_id,group_size,train_count,val_count,split_leak,cross_label,val_error_count,labels,val_paths,train_paths
exact_dhash,00000181c0870588,2,0,2,0,0,0,sunny:2,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01236.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01946.jpg,
exact_dhash,0000071975c78c63,2,2,0,0,0,0,cloudy:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00624.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01789.jpg
exact_dhash,00003038b8fcfc7c,4,0,4,0,0,0,rainy:4,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00375.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00421.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00430.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00435.jpg,
exact_dhash,01c1813a2ee50a72,2,0,2,0,0,0,cloudy:2,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00456.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01694.jpg,
exact_dhash,04040c2707030670,2,2,0,0,0,0,cloudy:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00641.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00742.jpg
exact_dhash,06040c0868484020,2,2,0,0,0,0,sunny:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01487.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01960.jpg
exact_dhash,0989adaf86f0f1f4,2,2,0,0,0,0,sunny:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_00831.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01835.jpg
exact_dhash,09a8c8d0d4549098,2,2,0,0,0,0,cloudy:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00559.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00605.jpg
exact_dhash,0c0c096527593293,2,2,0,0,0,0,cloudy:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01324.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_02181.jpg
exact_dhash,0c1c08888490f19b,2,2,0,0,0,0,cloudy:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01569.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_02069.jpg
exact_dhash,0c2464f2b2732401,2,2,0,0,0,0,cloudy:2,,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00989.jpg; datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01596.jpg
