run,path,true_label,pred_before,pred_after,correct_before,correct_after,confidence_before,confidence_after,change_type
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/snowy/snowy_00285.jpg,snowy,rainy,snowy,0,1,0.522296,0.491763,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00049.jpg,rainy,sunny,rainy,0,1,0.545972,0.472964,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_00156.jpg,sunny,sunny,cloudy,1,0,0.510518,0.610210,regressed
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00401.jpg,cloudy,sunny,cloudy,0,1,0.472357,0.546064,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01896.jpg,cloudy,sunny,cloudy,0,1,0.399369,0.472795,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00770.jpg,cloudy,sunny,cloudy,0,1,0.652675,0.448948,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01108.jpg,sunny,sunny,cloudy,1,0,0.523969,0.434793,regressed
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00026.jpg,rainy,cloudy,rainy,0,1,0.494125,0.470467,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_00174.jpg,sunny,sunny,cloudy,1,0,0.616708,0.448122,regressed
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_00210.jpg,sunny,sunny,cloudy,1,0,0.507230,0.557457,regressed
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/snowy/snowy_00314.jpg,snowy,cloudy,snowy,0,1,0.538314,0.532670,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00065.jpg,cloudy,sunny,cloudy,0,1,0.654385,0.438801,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00302.jpg,cloudy,cloudy,snowy,1,0,0.498337,0.534601,regressed
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01142.jpg,sunny,sunny,cloudy,1,0,0.566410,0.486733,regressed
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_00558.jpg,sunny,sunny,snowy,1,0,0.518027,0.706148,regressed
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/snowy/snowy_00209.jpg,snowy,sunny,snowy,0,1,0.574336,0.360082,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/snowy/snowy_00108.jpg,snowy,cloudy,snowy,0,1,0.563342,0.496873,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01523.jpg,cloudy,sunny,cloudy,0,1,0.559435,0.482452,corrected
seed42,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01140.jpg,cloudy,sunny,cloudy,0,1,0.573865,0.564693,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00175.jpg,rainy,snowy,rainy,0,1,0.737739,0.548323,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00280.jpg,rainy,cloudy,rainy,0,1,0.660484,0.490977,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00310.jpg,rainy,sunny,rainy,0,1,0.649498,0.528531,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01803.jpg,cloudy,cloudy,rainy,1,0,0.579066,0.589727,regressed
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01895.jpg,cloudy,snowy,cloudy,0,1,0.530323,0.486255,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00420.jpg,rainy,cloudy,rainy,0,1,0.432363,0.495895,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00302.jpg,cloudy,snowy,cloudy,0,1,0.549019,0.476767,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00406.jpg,rainy,cloudy,rainy,0,1,0.676441,0.518871,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_01264.jpg,sunny,snowy,sunny,0,1,0.549177,0.458411,corrected
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/snowy/snowy_00029.jpg,snowy,snowy,cloudy,1,0,0.551569,0.485610,regressed
train2025,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00442.jpg,cloudy,cloudy,rainy,1,0,0.535954,0.577820,regressed
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/rainy/rainy_00175.jpg,rainy,snowy,rainy,0,1,0.663345,0.501000,corrected
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_00174.jpg,sunny,sunny,cloudy,1,0,0.487036,0.635409,regressed
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00162.jpg,cloudy,snowy,cloudy,0,1,0.572752,0.615184,corrected
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00955.jpg,cloudy,sunny,cloudy,0,1,0.534391,0.516303,corrected
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01521.jpg,cloudy,snowy,cloudy,0,1,0.409824,0.448821,corrected
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/sunny/sunny_00103.jpg,sunny,sunny,cloudy,1,0,0.470733,0.600203,regressed
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01819.jpg,cloudy,rainy,cloudy,0,1,0.468389,0.511308,corrected
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_01523.jpg,cloudy,sunny,cloudy,0,1,0.566411,0.563443,corrected
train3407,datasets/6a39ed934d7b489daf5f80a4-momodel/train/cloudy/cloudy_00780.jpg,cloudy,snowy,cloudy,0,1,0.534375,0.538748,corrected
